,video_path,truth,feature_path
0,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2/train/training80_01/Tr3A7WODEuM.001.mp4,type,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2_output/Tr3A7WODEuM.001.npy
1,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2/train/training80_01/nZz1hK90gwA.004.mp4,type,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2_output/nZz1hK90gwA.004.npy
2,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2/train/training80_01/geXpIfaFzF4.001.mp4,type,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2_output/geXpIfaFzF4.001.npy
3,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2/train/training80_01/eI_7SimPnnQ.001.mp4,type,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2_output/eI_7SimPnnQ.001.npy
4,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2/train/training80_01/A3StIKMjn4k.002.mp4,type,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2_output/A3StIKMjn4k.002.npy
5,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2/train/training80_01/wTo1uZns2X8.000.mp4,type,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2_output/wTo1uZns2X8.000.npy
6,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2/train/training80_01/jmbAPNTJ3Vk.005.mp4,type,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2_output/jmbAPNTJ3Vk.005.npy
7,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2/train/training80_01/vr5FWHUkYRM.001.mp4,type,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2_output/vr5FWHUkYRM.001.npy
8,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2/train/training80_01/9mM_0vrO3wc.003.mp4,type,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2_output/9mM_0vrO3wc.003.npy
9,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2/train/training80_01/sNs4yCA11wk.000.mp4,type,/content/drive/Shareddrives/想聊對不隊/Code/First_Impressions_V2_output/sNs4yCA11wk.000.npy
